x y
1	53.507
2	13.467
3	4.701
4	4.081
5	3.228
6	1.216
7	1.102
8	0.958
9	0.596
10	0.509
11	0.491
12	0.293
13	0.268
14	0.262
15	0.251
16	0.211
17	0.152
18	0.148
19	0.148
20	0.116
21	0.106
22	0.101
23	0.092
24	0.089
25	0.073
26	0.06
27	0.058
28	0.056
29	0.055
30	0.04
31	0.036
32	0.026
33	0.015
34	0.011
35	0.002
36	0.002
